id,title,presentation_type,venue_name,location,year,month,day,authors,notes
pres-01,"Age-related amelioration of group differences in health care access related to cost for people with disabilities",conference-oral,Spotlight on Aging Research,"Gainesville, FL",2010,3,24,"Cannell MB, Brumback BA, Bouldin ED, Andresen EM",
pres-02,"Age group differences in health care access for people with disabilities: Are young adults at increased risk?",conference-oral,Society for Epidemiologic Research,"Seattle, WA",2010,6,23,"Cannell MB, Brumback BA, Bouldin ED, Andresen EM",Meeting ran June 23-26
pres-03,Severity of disability may lead to increased risk of cognitive decline,conference-oral,3rd North American Congress of Epidemiology,"Montreal, Quebec, Canada",2011,6,21,"Cannell MB, Bouldin ED, Akhtar WZ, Andresen EM",Meeting ran June 21-24
pres-04,Severity of disability may lead to increased risk of cognitive decline,conference-oral,PHHP Research Day 2011,"Gainesville, FL",2011,3,23,"Cannell MB, Bouldin ED, Akhtar WZ, Andresen EM",
pres-05,Association of blood cotinine level with cognitive performance in older adults,conference-oral,3rd North American Congress of Epidemiology,"Montreal, Quebec, Canada",2011,6,21,"Akhtar WZ, Andresen EM, Cannell MB, Xu XH",Meeting ran June 21-24
pres-06,Association of blood cotinine level with cognitive performance in older adults,conference-oral,PHHP Research Day 2011,"Gainesville, FL",2011,3,23,"Akhtar WZ, Andresen EM, Cannell MB, Xu XH",
pres-07,Disability and access to health care in Florida,conference-oral,3rd North American Congress of Epidemiology,"Montreal, Quebec, Canada",2011,6,21,"Cannell MB, Bouldin ED, Hall AG, Andresen EM",Meeting ran June 21-24
pres-08,Assessing Disability Severity on the Behavioral Risk Factor Surveillance System,conference-oral,American Public Health Association 13th annual meeting and exposition,"Washington, DC",2011,10,29,"Bouldin ED, Cannell MB, Hall AG, Andresen EM",Meeting ran October 29-November 2
pres-09,Severity of disability may lead to increased risk of cognitive decline,invited,PHHP Advisory and Development Board 2011,"Gainesville, FL",2011,9,16,"Cannell MB, Bouldin ED, Akhtar WZ, Andresen EM",
pres-10,Aging research and opportunities from public health,invited,Invited presentation,"Fort Worth, TX",2011,2,13,Cannell MB,
pres-11,National population estimates and correlates of sexual abuse of older adults,conference-oral,2012 College of Medicine Celebration of Research,"Gainesville, FL",2012,3,19,"Cannell MB, Manini TM",
pres-12,National population estimates and correlates of sexual abuse of older adults,conference-oral,Society for Epidemiologic Research,"Minneapolis, MN",2012,6,26,"Cannell MB, Hall AG",Meeting ran June 26-30
pres-13,"Association between Perfluorononanoic Acid (PFNA) and thyroid hormone levels in the U.S. population: a cross-sectional study of NHANES data, 2007-2008",conference-oral,UNTHSC Research Appreciation Day,"Fort Worth, TX",2014,3,20,"Hall L, Cannell MB, Felini M",
pres-14,Risk of physical impairment in postmenopausal women who experience physical and verbal abuse,conference-oral,Society for Epidemiologic Research Annual Meeting,"Denver, CO",2015,6,16,"Cannell MB, Weitlauf JC, Garcia L, Andresen EM, Margolis KL, Manini TM",Meeting ran June 16-19
pres-15,Partnerships pay: How working collaboratively pays in funding,invited,Adult Protective Services Annual Conference,"South Padre Island, TX",2015,11,11,"Cannell MB, Duer R, Burnett J",Meeting ran November 11-12
pres-16,Risk of physical impairment in postmenopausal women who experience physical and verbal abuse,conference-oral,Gerontological Society of America Annual Meeting,"Orlando, FL",2015,11,17,"Cannell MB, Weitlauf JC, Garcia L, Andresen EM, Margolis KL, Manini TM",Meeting ran November 17-22
pres-17,"A novel approach to detecting and reporting elder abuse and neglect in the community: Preliminary findings from the DETECT project",invited,San Diego State University School of Public Health,"San Diego, CA",2016,1,19,Cannell MB,
pres-18,Towards the development of a screening tool to enhance the detection of elder abuse and neglect by emergency medical technicians: A qualitative study,conference-oral,2016 Epidemiology Congress of the Americas,"Miami, FL",2016,6,,"Cannell MB, Jetelina KK, Radpour S, Reingle Gonzalez JM",
pres-19,A population health perspective on aging,invited,Geriatric Practice Leadership Institute,"Fort Worth, TX",2016,11,,Cannell MB,
pres-20,Towards the development of a screening tool to enhance the detection of elder abuse and neglect,conference-oral,2016 Gerontological Society of America National Conference,"New Orleans, LA",2016,11,,"Cannell MB, Jetelina KK, Reingle Gonzalez JM",
pres-21,Elder abuse: Should I report?,invited,2016 Texas Emergency Medical Services Conference,"Dallas, TX",2016,11,,"Farris J, Cannell MB",
pres-22,Elder abuse: Should I report?,invited,John Peter Smith Hospital Trauma Talk Series,"Fort Worth, TX",2017,3,,"Farris J, Cannell MB",
pres-23,Development of the Detection of Elder Abuse Through Emergency Care Technicians (DETECT) Community Intervention,conference-oral,2017 Society for Prevention Research National Conference,"Washington, DC",2017,5,,"Cannell MB, Jetelina KK, Reingle Gonzalez JM, Livingston MD",Meeting ran late May into early June
pres-24,A public health approach to Alzheimer's and other dementias,invited,Healthy Lives Matter Alzheimer's Education Series,"Fort Worth, TX",2017,8,20,Cannell MB,
pres-25,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,University of Texas School of Public Health,"Dallas, TX",2017,12,15,Cannell MB,
pres-26,Panel discussion on elder financial exploitation,panel,Texas Silver-Haired Legislature Conference on Elder Financial Exploitation,"Fort Worth, TX",2018,1,26,Cannell MB,
pres-27,Three Year Evaluation of the Detection of Elder abuse Through Emergency Care Technicians Project,conference-oral,2019 Gerontological Society of America National Conference,"Austin, TX",2019,11,13,"Cannell MB, Livingston MD, Weitlauf JC, Burnett JL, Parayil M, Reingle Gonzalez JM",
pres-28,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,University of Texas Southwestern Medical School Grand Rounds,"Dallas, TX",2020,1,9,Cannell MB,
pres-29,Towards the development of a screening tool to enhance the detection of elder abuse and neglect by emergency medical technicians (EMTs): A qualitative study,invited,NAPSA-NCPEA Research Committee,Online,2020,1,14,Cannell MB,
pres-30,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,University of Texas at Dallas Center for Vital Longevity Colloquium Series,"Dallas, TX",2020,2,17,Cannell MB,
pres-31,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,USC Judith D. Tamkin International Symposium on Elder Abuse,"Pasadena, CA",2020,2,27,Cannell MB,
pres-32,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,Alzheimer's Association Dallas & Northeast Texas Chapter Medical Research Advisory Committee,Online,2020,11,12,Cannell MB,
pres-33,Detecting and responding to elder mistreatment in a clinical environment,invited,John Peter Smith Hospital Trauma Talk Series,Online,2021,1,,Cannell MB,
pres-34,Foundations of elder mistreatment,invited,University of Texas at Dallas Hobson Wildenthal Honors College,Online,2021,2,,Cannell MB,
pres-35,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,"University of Texas at Arlington College of Nursing and Health Innovation, Nursing excellence in care of the older adult: A virtual conference in gerontology nursing",Online,2021,4,,Cannell MB,
pres-36,The Network Effect on Inter-Facility Transfers Among Regional Stroke Certified Hospitals,conference-oral,Annual Meeting of the American Stroke Association International Stroke Conference,Virtual,2021,3,,"Ifejika NL, Wiegand J, Harbold H, Botello AB, Novakovic R, Cannell MB",
pres-37,Results from the SKIN (Sunscreen for Kindergarteners) Study: An open-label clinical trial of a behavioral intervention for systematic and independent application of sunscreen in kindergarteners,conference-oral,Resident and Fellows Symposium at AAD VMX 2021,Virtual,2021,5,,"Barnes LA, Lee GH, Bae GH, Ransohoff KJ, Lu Y, Cannell MB, Weitlauf JC, Nord KM, Pol-Rodriguez MM",
pres-38,Evaluating Screening Instruments in the Absence of a Gold Standard Reference: Lessons Learned from LEAD panels,invited,University of Texas Southwestern Medical School Grand Rounds,"Dallas, TX",2022,2,2,Cannell MB,
pres-39,Turning LEAD (panel) into Gold,invited,USC Judith D. Tamkin International Symposium on Elder Abuse,"Pasadena, CA",2022,2,24,"Cannell MB, Acierno RE, Mosqueda L",
pres-40,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,Dallas Gerontological Society,,2022,3,17,Cannell MB,
pres-41,"Smoking associated with the misconception that drinking wine reduces cancer risk, United States 2020",conference-oral,2023 American Academy of Health Behavior (AAHB) Meeting,"San Francisco, CA",2023,3,,"Rossheim ME, Yockey RA, LoParco CR, Trangenstein PJ, Walters ST, Henry D, Cannell MB, Jernigan DH, Klein WMP",Oral presentation delivered by co-author Cassidy LoParco
pres-42,A novel approach to detecting and reporting elder abuse and neglect in the community,invited,2023 UTHealth Houston Trauma and Resilience Conference,"Houston, TX",2023,6,2,Cannell MB,
pres-43,Validating Screening Measures in the Absence of a True Gold Standard: Lessons Learned from LEAD Panels,conference-oral,Society for Epidemiologic Research Annual Meeting,,2023,6,15,"Cannell MB, Zhang X",
pres-44,Surfing the Silver Wave of Demographic Change,invited,Dallas Gerontological Society,,2023,10,19,Cannell MB,
pres-45,Current Population Aging Trends,invited,University of Texas Southwestern Medical School Grand Rounds,"Dallas, TX",2023,11,1,Cannell MB,
pres-46,Lone Star Synergy: Collaborative Approaches to Elder Justice in Texas,invited,Texas Elder Justice Coalition,"Fort Worth, TX",2024,8,14,Cannell MB,
pres-47,"Adapting the DETECT Tool for Home-based Primary Care: Insights on Policies, Provider Perspectives, and Tool Design",conference-oral,Gerontological Society of America Annual Meeting,"Seattle, WA",2024,11,16,"Lees Haggerty K, Cannell MB, Ojelabi O, Campetti R, Burnett J, Pickering C, Livingston ML",
pres-48,Evaluating the Association between Diagnosed Sleep Disorders and Parkinson's Disease in the All of US Research Program Cohort,conference-oral,International Conference on Alzheimer's and Parkinson's Diseases and Related Neurological Disorders,"Vienna, Austria",2025,4,1,"Clark T, Cannell MB",Co-author Clark T is a primary-advisor mentee
pres-49,Adapting DETECT for home-based primary care: Clinician perspectives on using DETECT-RPC,conference-poster,2026 USC Judith D. Tamkin International Symposium on Elder Abuse,"Pasadena, CA",2026,2,,"Campetti R, Lees Haggerty K, Froberg R, Burnett J, Cannell MB",
pres-50,"AIR It Out, from Partnership to Collaboration",invited,Annual APS AIR (Awareness + Information + Resources),"Dallas, TX",2026,6,,Cannell MB,
